Abramov had a car accident in Moscow last night and was seriously injured .  ||| 阿布拉莫夫 昨天 晚上 在 莫斯科 遭遇 了 车祸 ， 并且 身受 重伤 。
Well , among many reasons that blocked Japan from getting accepted this year , the most important one was that its neighboring countries did not cast favorable votes . ||| 那么 今年 日本 这个 之所以 进 不 去 ， 在 很多 这个 *T*-1 阻碍 的 原因 里头 ， *T*-2 最 主要 就 是 邻国 没有 对 它 投 赞成票 。
That is , it did not--  ||| 就是 没有
It failed to gain the support of countries in its own region .  ||| 他 得 不 到 所在 地区 的 国家 的 支持 。
Right .  ||| 对 。
To become a permanent member of the Security Council , the most important thing is to first win the support of your own region . ||| 这个 成为 常任 理事国 ， *T*-1 最 主要 的 首先 要 得到 本 地区 的 支持 ，
Right .  ||| 对 。
Well , right now it is its neighboring countries that did not support it .  ||| 那么 ， 现在 也 就 是 周边 国家 对 它 难以 支持 。
Uh-huh .  ||| 嗯 嗯 。
Therefore , we should say that it is , right , this Prime Minister Koizumi who has single-handedly ruined Japan 's dream of becoming a permanent member of the Security Council . ||| 所以 这个 是 应该 说 是 ， 小泉 对 ， 就 ， 就 ， 小泉 这个 首相 啊 ， 一手 就是 搅黄 了 这个 日本 的 入 常 梦 ，
Uh-huh .  ||| 嗯 嗯 。
This is the most serious cost .  ||| 这个 代价 还 是 最 惨痛 的 一 个 。
Some analysts also mentioned this point , that is to say , right now , Japan 's neighboring countries are basically very much disappointed with what Koizumi has been doing . ||| 还 有的 分析家 也 谈到 了 这 一 点 ， 就说 现在 呢 ， 日本 的 各 邻国 呢 ， 基本上 对于 小泉 这 种 做法 非常 的 失望 ，
Well , many countries have all abandoned their hopes to further mend their relations with Japan .  ||| 那么 很多 国家 呢 ， 已经 都 放弃 了 和 日本 进 修补 这个 关系 的 进一步 的 期望 ，
In this respect , such a question follows , that is , how far could Koizumi go following his diplomatic policy ?  ||| 在 这 里面 呢 ， 接 ， 接下来 就 出现 这样 一 个 问题 ， 那么 ， 小泉 的 外交 ， 他 这 条 路 到底 能 走 多 远 ？
Well , from what can be seen now , that is , actually , er , let 's say , from the cabinet he formed after his victory of the general election for the second time , we could indeed see that he has gathered , um , the statesmen , or politicians who ||| 那么 现在 看 啊 ， 就是 实际上 呢 ， 呃 从 他 第二 次 就说 ， 呃 这个 ， 赢得 大选 胜利 之后 ， 他 这个 组阁 的 班子 来看 哈 ， 通常 确实 看到 了 ， 他 把
Well , from what can be seen now , that is , actually , er , let 's say , from the cabinet he formed after his victory of the general election for the second time , we could indeed see that he has gathered , um , the statesmen , or politicians who ||| 嗯 。
Well , from what can be seen now , that is , actually , er , let 's say , from the cabinet he formed after his victory of the general election for the second time , we could indeed see that he has gathered , um , the statesmen , or politicians who ||| 悉数 都 纳 进来 了 。 嗯 。
He , right , appointed them as defense minister or foreign minister .  ||| 他 让 他 做 ， 对 ， 让 他 做 着 这个 国防 长官 或者 做 这个 外相 ，
Uh-huh .  ||| 嗯 嗯 。
In fact we can see that he is sort of determined on this issue to fight against neighboring countries to the end .  ||| 实际上 可以 看出 他 有 一 种 什么 ， 在 这个 问题 上 ， 他 跟 周边 邻国 是 要 对抗 到底 的 。
Uh-huh .  ||| 嗯 嗯 。
This way , he actually sent out a message that he has no sincerity in , during his term , improving the relations with neighboring countries . ||| 这样 的话 呢 ， 就 是 实际上 发出 一 个 信息 ， 他 没有 诚意 ， 来 改善 ， 在 任内 改善 和 周边 邻国 的 关系 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
This will indeed lead to the great disappointment of neighboring countries in him , and furthermore to their caution about whether next , the prime minister , the defense minister , including , er , the foreign minister would all go pay their ||| 这样 的话 会 导致 呢 确实 周边 邻国 对 他 非常 失望 ， 并且 产生 一 种 警惕 ， 就是说 ， 下 一 步 ， 会 不 会 ， 首相 ， 国防 长官 包括 呢 ， 呃 外相 ， 会 不 会 都 去 参拜
If that is the case , it may have produced a very extensive negative impact on its relations with neighboring countries .  ||| 如果 那样 的话 呢 ， 可能 对 邻国 的 关系 更 是 会 造成 了 一 个 ， 非常 大 的 负面 影响 ，
Uh-huh .  ||| 嗯 嗯 ，
Well , actually , right now even the European and US media have noted this issue .  ||| 那么 实际上 呢 ， 这个 问题 呢 ， *T*-1 包括 现在 的 欧 美 舆论 也 都 注意 到 了 。
Right .  ||| 对 。
We , including US President Bush , who came to Pusan following his visit to Japan this time and then will arrive again in China , are , in fact , also very concerned with this future development of Sino-Japanese relations . ||| 我们 包括 *T*-1 这 次 ， 嗯 ， 这个 访问 日本 啊 ， 后来 又 到 釜山 ， 马上 又 到 中国 来 的 这个 美国 总统 布什 ， 实际上 也 很 关注 呢 ， 这个 ， 中 日 关系 未来 的 发展 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
That is because I recently met an American scholar whose first question to me was whether there will be any conflict in the East China Sea region . ||| 因为 ， 我 前不久 见 了 一 个 美国 的 学者 ， 他 第一 个 问题 问 我 是 什么 呢 ， 东海 会 不 会 发生 冲突 ？
Uh-huh .  ||| 嗯 嗯 。
Ah , I do n 't think it would be that serious , but we can see that the international community has already shown tremendous concern about the chaos to international relations in this region that may have resulted from the Koizumi ||| 啊 我 认为 没有 那么 严重 ， 但是 可以 可以 看到 就是 呢 ， 呃 ， 国际 社会 对于 日本 ， 特别是 小泉 内阁 啊 ， 在 外交 上 一意孤行 ， 可能 导致 这个 地区 这个 国际 关系 的 紊乱
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
In fact it is not merely an issue of Sino-Japanese relations or Japanese-Korean relations .  ||| 实际上 就 不 只 是 一 个 中 日 关系 、 日 韩 关系 的 问题 了 。
It has triggered that--  ||| 已经 牵动 了 那个
Yeah .  ||| 对 。
the nerves of the international community .  ||| 国际 社会 的 神经 了 。
Yeah .  ||| 是 。
That is , the US public and scholars have , started to show concerns over the issue of right and wrong in WW II , the moral issue , that is , the US has started to pay attention to this issue . ||| 就是 美国 这个 舆论 和 学者们 已经 开始 ， 开始 对 这个 美国 在 这个 二战 大是大非 这样 一 个 问题 上 ， 美国 的 这个 道义性 问题 ， 就是 美 ， 就是 美国 ， 已经 开始 关注 了 ，
The US has kept quiet on the issue of Yasukuni Shrine because it wants to get along with everyone .  ||| 美国 在 靖国神社 问题 上 保持 沉默 呀 ， 就 想 当 一 个 大好人 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
So , it has been an onlooker to the fighting among eastern Asian countries .  ||| 所以 他 看 着 东亚 国家 斗来斗去 ， 但 现在 美国 已经 坐 不 住 了 ， 我 觉得 这样 下去 ， 美国 在 这个 地区 的 利益 也 要 受到 损失 的 。
But now the US can no longer sit quietly any more .  ||| 所以 他 看 着 东亚 国家 斗来斗去 ， 但 现在 美国 已经 坐 不 住 了 ， 我 觉得 这样 下去 ， 美国 在 这个 地区 的 利益 也 要 受到 损失 的 。
I think that if things go on like this , the US interests in this region are also going to suffer .  ||| 所以 他 看 着 东亚 国家 斗来斗去 ， 但 现在 美国 已经 坐 不 住 了 ， 我 觉得 这样 下去 ， 美国 在 这个 地区 的 利益 也 要 受到 损失 的 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , now let 's look at this Koizumi , that is , the post-Koizumi era .  ||| 那么 现在 我们 就 看 这个 小泉 ， 就是 后 小泉 时代 ， 他 以 什么 标准 来 选 他 的 接班人 ？ 是 不 是 以 参拜 为 标准 ，
What are his standards for selecting his successor ?  ||| 那么 现在 我们 就 看 这个 小泉 ， 就是 后 小泉 时代 ， 他 以 什么 标准 来 选 他 的 接班人 ？ 是 不 是 以 参拜 为 标准 ，
Is visiting Yasukuni Shrine a criterion ?  ||| 那么 现在 我们 就 看 这个 小泉 ， 就是 后 小泉 时代 ， 他 以 什么 标准 来 选 他 的 接班人 ？ 是 不 是 以 参拜 为 标准 ，
Uh-huh .  ||| 嗯 嗯 。
Yeah .  ||| 对 。
This is one of the important indexes that , we should watch for regarding which road exactly Japan will take .  ||| 这个 我 是 我们 要 看 日本 呢 到底 要 走 哪 条 路 的 一 个 重要 指标 吧 。
However , based on the selection and formation of his , er , cabinet , it seems that Koizumi is making his post-resignation arrangements , ah . ||| 但是 从 他 现在 所 选择 的 这个 ， 嗯 ， 内阁 的 组成 的 情况 来看 呢 ， 好像 小泉 正在 安排 他 辞职 以后 的 ， 这个 ， 哎 ， 已经 开始 准备 了 ，
He has started to get ready .  ||| 但是 从 他 现在 所 选择 的 这个 ， 嗯 ， 内阁 的 组成 的 情况 来看 呢 ， 好像 小泉 正在 安排 他 辞职 以后 的 ， 这个 ， 哎 ， 已经 开始 准备 了 ，
The Koizumi era , well--  ||| 小泉 时代 的 这个 ，
Has already prepared--  ||| 已经 开始 准备 了 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , following that , for instance , if his successor is indeed Shinzo Abe , well , what will it mean if Shinzo Abe takes office ? ||| 那么 接下来 ， 比如说 ， 假如说 他 的 接班人 真 是 安倍晋三 的话 ， 那么 ， 安倍晋三 上台 又 意味 着 什么 ？
Well , actually , I see , ah , Koizumi has dual purposes in arranging this cabinet , ah .  ||| 那么 其实 我 看 啊 ， 小泉 呢 ， 他 这 次 这个 组阁 的 安排 哈 ， 呃 他 有 两面性 ， 啊 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
That is , in fact , I now feel that he , er , is somewhat adopting a China policy that separates politics from economy .  ||| 就说 实际上 呢 ， 他 呃 ， 有 一点点 啊 ， 就是 我 现在 感觉 啊 ， 他 是 采取 一 种 呢 政 经 分离 的 对 华 对策 。
Uh-huh .  ||| 嗯 嗯 。
Well , in politics , he will go against you , eh , mainly on the issues of Yasukuni Shrine and textbooks , but in economic and trade affairs , er , he still wants to safeguard Japan 's economic rights . ||| 那么 在 政治 上 是 ， 跟 你 顶着 干 ， 嗯 ， 主要 是 在 靖国神社 和 教科书 问题 ， 但是 呢 ， 在 ， 嗯 ， 经济 贸易 方面 呃 他 还 是 想 着 维护 日本 的 经济 权益 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Right .  ||| 对 。
He is using some , eh , people who are , for instance , er , relatively moderate and pragmatic toward China .  ||| 他 在 用 一些 嗯 对 华 比如说 ， 呃 比较 缓和 的 这些 务实 的 这些 嗯 。
Right .  ||| 对 。
Right , right , right .  ||| 对 ， 对 ， 对 ， 比如说 比如说 ， 象 那个 ， 这个 ， *T*-1 跟 中国 比较 友好 的 啊 ， 就 是 二阶俊俊博 ， 那么 这个 嗯 ， 嗯 ， 政治家 啊 。 担任 了 经济 产业 大臣 。
 , for instance , a politician quite friendly with China , that is , Toshihiro Nikai , um , was appointed as minister of Economy , Trade and Industry . ||| 对 ， 对 ， 对 ， 比如说 比如说 ， 象 那个 ， 这个 ， *T*-1 跟 中国 比较 友好 的 啊 ， 就 是 二阶俊俊博 ， 那么 这个 嗯 ， 嗯 ， 政治家 啊 。 担任 了 经济 产业 大臣 。
Uh-huh .  ||| 嗯 嗯 。
Toshihiro Nikai .  ||| 二阶俊博
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Uh-huh .  ||| 嗯 嗯 。
Well , we also see that after Nikai took office , his speech on the Eastern China Sea issue , we should say , is quite appropriate . ||| 那么 我们 也 看到 ， 二阶 上来 以 ， 上来 以后 呢 ， 在 ， 呃 ， 东海 问题 上 ， 他 的 讲话 应该 是 说 呢 ， 是 比较 妥贴 的 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Ah , in his opinion , he wants to have friendly negotiations , ah , with China if he sees that China , er , has taken any action . ||| 啊 他 认为 呢 ， 就是 要 跟 中国 呢 ， 啊 进行 友好 的 协商 如果说 看到 中国 ， 呃 ， 采取 了 行动 ，
He does not think Japan 's unilateral action in this disputed area is friendly negotiation .  ||| 日本 也 在 这个 *T*-2 有 争议 的 地区 采取 这个 ， 单方面 行动 ， 这 他 认为 这 不 是 一 个 友好 磋商 ，
Uh-huh .  ||| 嗯 嗯 。
If it is impossible for talks to go on , it can still be postponed till future , en , when there is a chance to resume talks . ||| 如果 谈 不 下去 呢 ， 还 可以 将来 嗯 ， 再 ， 嗯 拖 下去 ， 找到 机会 再 谈 ，
Er , I think that to prevent the bilateral relations from suffering friction over specific issues , his attitude like this should be-- ||| 呃 我 认为 他 的 这个 态度 呢 ， 可能 ， 呃 ， 对 防止 两 国 关系 呢 ， 在 具体 问题 上 发生 这个 擦枪走火 ， 应该 说 还是 有 ，
Uh-huh .  ||| 嗯 嗯 。
But , can his diplomacy featuring two separate political and economic lines work ?  ||| 但是 ， 他 的 这 种 政经 两 条 线 的 这 种 外交 路线 他 能 走 得 通 吗 ，
Eh , we need to watch for it this year .  ||| 嗯 这个 ， 我们 要 看 这个 一 年 吧 ，
Uh-huh .  ||| 嗯 嗯 。
Well , now Koizumi is constantly sending out the message that he will step down voluntarily in September next year .  ||| 那么 现在 小泉 不断 地 放话 说 ， 明年 九月 要 自己 自动 下台 嘛 ，
Well , of course we could not believe completely 100 percent of what he said about this , because it is not certain whether they will make accommodations to let Koizumi stay in office . ||| 那么 这个 当然 不 能 是 完全 百分之百 相信 他 说 的 话 啦 ，
Well , of course we could not believe completely 100 percent of what he said about this , because it is not certain whether they will make accommodations to let Koizumi stay in office . ||| 因为 他们 还 会 不 会 采取 变通 的 办法 让 小泉 继续 干 下去 ，
But , if he steps down in September next year , we will see who on this cabinet will be the prime minister .  ||| 但是 呢 ， 如果 明年 九月 下台 的话 ， 我们 就 要 看 ， 从 这个 内阁 里 ， 谁 会 当 首相 ？
Uh-huh .  ||| 嗯 嗯 。
Well , mainly we will see whether he gives priority to diplomacy or internal affairs and whether he is more a hawk or a dove . ||| 那么 主要 从 这个 他 要 注重 外交 还是 内政 ， 注重 强硬派 还是 温和派 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
We know there are several other people , such as Sadakazu Tanigaki and other economic figures , and those people mentioned by Professor Liu just now like Toshihiro Nikai . ||| 我们 知道 有 几 个 其他 人物 ， 像 古原贞一 啦 ， 还 有 注重 内 ， 注重 ， 这个 ， 什么 ， 这个 其他 经济 人物 啊 ， 还 有 刚才 刘 教授 说 的 象 二阶俊博 这些 人物 啊
Uh-huh .  ||| 嗯 嗯 。
This Koizumi has made some preparations after all , that is , he made dual preparations .  ||| 还是 有些 ， 这个 小泉 还是 做 了 一些 准备 ， 就是 做 了 两 手 准备 吧 。
Uh-huh .  ||| 嗯 嗯 。
So , we still have to urge this Japanese government , ah , not to continue isolating itself like this .  ||| 那么 我们 还 要 敦促 这个 日本 政府 啊 ， 不 要 再 这样 嗯 。 继续 孤立 下去 了 ，
We are certainly willing to watch for this , and will continue to monitor Japan .  ||| 我们 当然 愿 看 ， 这个 继续 要 考察 日本 一下 啊 。
All right .  ||| 好 ， 我们 最后 的 把 话题 呢 再 拉回 到 这 一 次 的 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 会议 上 ，
For our final topic , let 's go back to the APEC meeting this time .  ||| 好 ， 我们 最后 的 把 话题 呢 再 拉回 到 这 一 次 的 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 会议 上 ，
Uh-huh .  ||| 嗯 嗯 。
Well , as we mentioned earlier at the beginning , eh , a very important purpose for Koizumi to go to attend the APEC leaders  ' summit in Pusan this time is to see if he could try to improve the relations with neighboring countries ||| 那么 ， 前面 我们 谈到 了 ， 一开始 说 ， 嗯 ， 小泉 这 次 呢 ， 到 釜山 去 参加 这个 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 领导人 峰会 啊 ， 很 重要 的 一 个 目的 呢 ，
But , could you analyze and predict what kind of achievements he can make during his trip to Pusan ?  ||| 但 ， 你们 分析 一下 ， 预测 一下 ， 他 这 次 的 釜山 之 行 能 有 什么样 的 收获 ？
Well , I think that actually the greatest achievement for him is that he should see facts .  ||| 那么 我 认为 呢 ， 实际上 他 最 大 一 个 收获 ， 他 就 应该 看到 事实 ，
What kind of facts ?  ||| 什么样 的 事实 呢 ？ 就 是 一 个 是非 的 问题 ，
That is , the issue of right and wrong .  ||| 什么样 的 事实 呢 ？ 就 是 一 个 是非 的 问题 ，
Well , some people say that as China 's economy is growing , Japan is getting somewhat jealous .  ||| 那么 有 人 说 中国 经济 增长 了 ， 所以 呢 ， 日本 呢 心里 有点 酸溜溜 的 ，
Er , as two powers are juxtaposed , the relations between the two countries have become somewhat tense .  ||| 呃 因为 两 强 在 这儿 鼎立 ， 所以 两 国 关系 发生 一些 紧张 ，
In reality it is not necessary so .  ||| 实际上 能 也 不 尽然 ， 比如说 吧 ， 中国 经济 增长 了 ， 嗯 ， 强大 了 ， 但是 我们 看到 中 韩 关系 确实 是 在 飞速 地 发展 。
For instance , China 's economy is growing , eh , and getting stronger , but we see the relations between China and South Korea are indeed developing rapidly . ||| 实际上 能 也 不 尽然 ， 比如说 吧 ， 中国 经济 增长 了 ， 嗯 ， 强大 了 ， 但是 我们 看到 中 韩 关系 确实 是 在 飞速 地 发展 。
Uh-huh .  ||| 嗯 嗯 。
Well , the current trade between China and South Korea has reached nearly 100 billion US dollars .  ||| 那么 中 韩 呢 ， 现在 的 贸易 已经 达到 了 将近 一千亿 美元 ，
Uh-huh .  ||| 嗯 嗯 ，
Er , within another period of time , er , that is , by 2012 when it is , the 20th anniversary of the establishment of diplomatic relations between China and South Korea , 200 billion US dollars  ' worth of economic trade can be reached . ||| 呃 ， 再 过 ， 呃 ， 一 段 时间 ， 就 是 到 二零一二年 ， 那么 中 韩 呢 ， 就 是 已经 是 就 是 二十 周年 ， *pro* 建交 二十 周年 的 时候 ， 二千亿 美元 的 经 ，
Yeah .  ||| 可以 达到 ，
So , this will have surpassed what it is now for Japan and China which still failed to reach 200 billion US dollars at this 33rd anniversary of the normalization of their diplomatic relations . ||| 那么 这 就 已经 是 呢 ， 超过 ， 就是 现在 日本 和 中国 ， 已经 是 邦交 正常化 三十三 周年 啦 还 没有 ， 达到 二千亿 美元 ，
Uh-huh .  ||| 嗯 嗯 。
We can say , the economic development in South Korea and China , to borrow Roh Moo-hyun 's words , is developing rapidly .  ||| 可以 说 呢 ， 韩国 和 中国 的 经济 发展 ， 用 卢武铉 的 话 讲 呢 是 飞速 地 发展 。
Uh-huh .  ||| 嗯 嗯 。
In addition , we can see that South Korea has been improving its relations with all neighboring countries with the exception of Japan . ||| 另外 ， 可以 看一看 ， 韩国 除了 和 日本 之外 ， 跟 周边 邻国 的 关系 都 在 改善 。
Uh-huh .  ||| 嗯 嗯 。
China has also significantly improved its relations with all neighboring countries with the exception of Japan .  ||| 中国 除了 日本 之外 ， 跟 周边 国家 的 关系 都 在 明显 地 改善 ，
Uh-huh .  ||| 嗯 嗯 。
It is the same with Russia .  ||| 俄罗斯 也 是 如此 。
Yeah .  ||| 对 。
We , should say that people in the world are very clear about what is right and wrong .  ||| 是非 应该 说 呢 ， 在 ， 应该 说 呢 ， 这个 世人 呢 ， 都 是 非常 清楚 的 。
It is all in the hearts of people .  ||| 尽 在 人心 中 。
Yeah .  ||| 对 。
I think this can only prove Koizumi 's stubbornness .  ||| 我 认为 只 能 证明 小泉 这个 人 的 顽固 ，
I do n 't think it is certain at this point that he will change suddenly and completely .  ||| 我 认为 他 幡然悔悟 的 可能性 啊 ， 现在 看来 ， 很 难 确定 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
That is to say , this time he could only further expose his poor diplomatic skills and his isolation to the international community . ||| 就说 他 这 次 只 能 是 给 国际 社会 进一步 暴露 出 他 这个 外交 的 非常 拙劣 ， 和 陷入 孤立 这个 状态 。
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , based on his past remarks and deeds , it is hard to determine whether he will suddenly change his diplomatic policy after he returns . ||| 那么 从 他 过去 的 一 言 ， 所 言 ， 所作所为 来看 呢 。 他 回去 以后 是 不 是 突然 转 ， 转变 一下子 外交 ， 这 很 难 确定 ，
Uh-huh .  ||| 嗯 嗯 。
Uh-huh .  ||| 嗯 。
Well , there is very little chance in this regard .  ||| 很 ， 这 希望 是 很 小 的 吧 。
Er , judging from the situation he is in while participating in the APEC meeting , er , I am afraid he may not be suffering from friction with neighboring countries only . ||| 呃 ， 通过 这 次 他 参加 ＜ Ｅｎｇｌｉｓｈ ＞ ＡＰＥＣ ＜ ／ Ｅｎｇｌｉｓｈ ＞ 会议 的 情况 来看 呢 ， 呃 ， 恐怕 不 光 是 在 与 邻国 的 关系 上 有 摩擦 ， 他 会 很 难受 ，
Apart from that , er , some sources disclosed , for instance , he has also had some problems on this issue with some Latin American countries . ||| 另外 呢 ， 呃 ， 也 透露 出 一些 信息 嘛 ， 比如说 在 跟 一些 拉美 国家 上 ， 嗯 ， 这个 问题 上 他 也 有 ， 也 存在 一些 问题 ，
Yes .  ||| 是 。
So , just as we mentioned at the start of the program , during his trip to Pusan , Koizumi must feel not only isolated but also surely frustrated . ||| 所以 说 ， 就 像 我们 在 节目 的 一开始 谈到 的 ， 这 次 小泉 的 釜山 之 行 呢 ， 一 个 是 有 孤立 的 感觉 ， 另外 ， 肯定 还 会 有 种
Uh-huh .  ||| 嗯 嗯 。
All right .  ||| 好 ， 非常 感谢 啊 ！
All right .  ||| 这个 刘江永 教授 和 金熙德 教授 到 演播室 来 参与 我们 的 节目 ， 啊 ，
All right .  ||| 给 我们 介绍 了 很多 向 相关 的 情况 ， 谢谢 两 位 ！
Thank you very much , ah , well , Professor Liu Jiangyong and Professor Jin Xide , for coming to our studio to participate in our program , ah , and introduce to us so much relevant information . ||| 好 ， 非常 感谢 啊 ！
Thank you very much , ah , well , Professor Liu Jiangyong and Professor Jin Xide , for coming to our studio to participate in our program , ah , and introduce to us so much relevant information . ||| 这个 刘江永 教授 和 金熙德 教授 到 演播室 来 参与 我们 的 节目 ， 啊 ，
Thank you very much , ah , well , Professor Liu Jiangyong and Professor Jin Xide , for coming to our studio to participate in our program , ah , and introduce to us so much relevant information . ||| 给 我们 介绍 了 很多 向 相关 的 情况 ， 谢谢 两 位 ！
Thank you two !  ||| 好 ， 非常 感谢 啊 ！
Thank you two !  ||| 这个 刘江永 教授 和 金熙德 教授 到 演播室 来 参与 我们 的 节目 ， 啊 ，
Thank you two !  ||| 给 我们 介绍 了 很多 向 相关 的 情况 ， 谢谢 两 位 ！
All right , dear viewers , that 's all for today 's Focus Today program .  ||| 好 ， 观众 朋友 ， 今天 的 今日 关注 节目 就 到 这里 就 结束 了 ，
Thank you too , dear viewers , for watching !  ||| 也 感谢 观众 朋友 的 收看 。 再见 ！
Good-bye .  ||| 也 感谢 观众 朋友 的 收看 。 再见 ！
Hello , let 's check out the weather together .  ||| 你 好 ， 一起 来 关注 天气 ，
Over the weekend , the weather in the South will change significantly .  ||| 周末 南方 天气 变化 会 比较 明显 ，
It has been overcast and rainy continuously for nearly 10 days in some places here .  ||| 这里 一些 地方 持续 了 将近 十 天 的 阴雨 天气 ， 将 会 告一段落 ，
This is coming to an end for a while .  ||| 这里 一些 地方 持续 了 将近 十 天 的 阴雨 天气 ， 将 会 告一段落 ，
Although it is still overcast and rainy tomorrow from the eastern part of the southwestern region to this area south of the Yangtze River , it will turn cloudy by the day after tomorrow in the area south of the Yangtze River . ||| 尽管 明天 的 时候 ， 从 西南 地区 东部 ， 到 江南 这 片 地方 还是 会 沉浸 在 阴雨 当中 ， 但是 到 了 后天 呢 ， 江南 将 会 转为 多云 天气 ，
Well , it is a very pleasant thing that the long-awaited sunny weather following a long period of rain should occur on Sunday because people can arrange some outings . ||| 那么 期盼 已 久 的 雨过天晴 ， 出现 在 周日 也 是 一 件 *T*-11 令 人 欣慰 的 事情 。 因为 *pro* 可以 安排 一些 出行 计划 了 ，
However , I need to caution you that as the temperature is not climbing up significantly after the rain is over , the weather will still feel somewhat gloomy and cold . ||| 不过 *pro* 需要 提醒 您 的 是 ， 尽管 雨 停 了 ， 但是 气温 的 回升 并不 是 很 明显 ， 所以 天气 给 人 的 感觉 呢 ， 还 是 有一些 阴冷 。
All right .  ||| 好 来 看 一下 北方 ，
Let 's take a look at North China .  ||| 好 来 看 一下 北方 ，
Tomorrow morning it will be foggy in parts of North China .  ||| 明天 早晨 ， 在 华北 的 部分 地区 ， 将 会 有 雾 ，
On the weekend winds of forces 4 will blow across the northeast region .  ||| 周末 东北 地区 还 将 会 出现 四五 级 的 风 ，
In addition , there will be snowfall in southern Gansu .  ||| 另外 ， 甘肃 南部 还 将 会 下起 雪 来 。
Okay , let 's turn our attention to the city weather forecasts .  ||| 好 ， 一起 来 关注 一下 城市 天气 预报 。
Beijing , cloudy , 2 to 8 degrees .  ||| 北京 多云 ， 二 到 八 度 ，
Harbin , sunny , 11 degrees below zero to zero degree .  ||| 哈尔滨 晴 ， 零下 十一 度 到 零 度 ，
Changchun , sunny , 9 degrees below zero to 1 degree .  ||| 长春 晴 ， 零下 九 度 到 一 度 ，
Xi 'an , cloudy , 6 to 12 degrees .  ||| 西安 多云 ， 六 到 十二 度 ，
Shijiazhuang , foggy changing to sunny , 1 to 9 degrees .  ||| 石家庄 雾 转 晴 ， 一 到 九 度 ，
Shanghai , overcast changing to light rain , 11 to 15 degrees .  ||| 上海 阴 转 小雨 ， 十一 到 十五 度 ，
Nanjing , overcast , 8 to 13 degrees .  ||| 南京 阴 ， 八 到 十三 度 ，
Taipei , light rain , 18 to 22 degrees .  ||| 台北 小雨 ， 十八 到 二十二 度 ，
Guangzhou , cloudy , 16 to 24 degrees .  ||| 广州 多云 ， 十六 到 二十四 度 ，
Dalian , cloudy changing to sunny , 2 to 8 degrees .  ||| 大连 多云 转 晴 ， 二 到 八 度 ，
Luoyang , cloudy , 5 to 13 degrees .  ||| 洛阳 多云 ， 五 到 十三 度 ，
Bangkok , cloudy changing to showers , 25 to 34 degrees .  ||| 曼谷 多云 转 阵雨 ， 二十五 到 三十四 度 ，
New Delhi , sunny , 13 to 29 degrees .  ||| 新德里 晴 ， 十三 到 二十九 度 ，
Seoul , sunny , 1 degree below zero to 8 degrees .  ||| 首尔 晴 ， 零下 一 度 到 八 度 ，
Tokyo , sunny changing to cloudy , 8 to 14 degrees .  ||| 东京 晴 转 多云 ， 八 到 十四 度 ，
London , sunny changing to cloudy , 1 degree below zero to 8 degrees .  ||| 伦敦 晴 转 多云 ， 零下 一 度 到 八 度 ，
Moscow , medium rain changing to light rain , 1 degree below zero to 2 degrees .  ||| 莫斯科 中雨 转 小雨 ， 零下 一 度 到 二 度 ，
Paris , sunny , 1 degree below zero to 9 degrees .  ||| 巴黎 晴 ， 零下 一 度 到 九 度 ，
Vienna , sunny , 3 to 7 degrees .  ||| 维也纳 晴 ， 三 到 七 度 ，
New York , cloudy , 7 to 9 degrees .  ||| 纽约 多云 ， 七 到 九 度 ，
Seattle , cloudy changing to sunny , 5 to 8 degrees .  ||| 西雅图 多云 转 晴 ， 五 到 八 度 ，
Washington , sunny changing to cloudy , 4 to 6 degrees .  ||| 华盛顿 晴 转 多云 ， 四 到 六 度 。
