--basically , it was unanimously agreed upon by the various relevant parties .  ||| 基本上 得到 了 有关 各 方 的 一致 赞同 ，
That is to say , we have many corresponding systems .  ||| 就是说 我们 相应 的 制度 非常 多 ，
However , the question is how city management , er , handles these various kinds of perhaps unpredictable cases .  ||| 但是 就是说 ， 怎么样 在 一 个 城市 管理 当中 呃 来 应对 这 种 各 种 *T*-1 可能 预测 不 到 的 ，
Since we are entering new circumstances of human living , circumstances that contain high risk and have an increasingly developed urbanized life , well , I think corresponding improvements should be made to the formation of a series of ||| 因为 我们 在 进入 一 个 崭新 的 一 种 这个 ， 这个 人类 的 一 种 生存 的 状况 ，
Since we are entering new circumstances of human living , circumstances that contain high risk and have an increasingly developed urbanized life , well , I think corresponding improvements should be made to the formation of a series of ||| 这 种 高风险 的 这 种 状况 和 这 种 啊 城市化 的 生活 越来越 ， 越来越 发达 这 种 情况 下 ， 那么 ， 做好 从 科学 的 规划 到 预警 预测 ， 到 应急 反应 ， 到 事故 的 调查 ， 到 这个
Um , well , based on your understanding of the situation , and from an international perspective , what are some better ways of urban management that are worthwhile for us to learn ? ||| 嗯 。 那么 ， 据 您 了解 的 情况 来看 ， 从 国际 范围 来看 ， 有 哪些 比较 好 的 这 种 城市 方面 的 管理 值得 我们 学习 ？
I think , in comparison to China , we should say that urbanization in foreign countries developed earlier and is more widespread . ||| 我 想 这个 国外 的 城市化 比 中国 来说 ， 应该 就是说 ， 发展 得 既 早 而且 也 普及 ， 这个 ， 这个 发展 的 程度 也 比 我们 也 要 深 。
Their level of development is more advanced than ours .  ||| 我 想 这个 国外 的 城市化 比 中国 来说 ， 应该 就是说 ， 发展 得 既 早 而且 也 普及 ， 这个 ， 这个 发展 的 程度 也 比 我们 也 要 深 。
Although the scale of our urbanization is currently expanding at a rate of 1 % per year , I think , with our economic development being relatively backward , we actually still have many aspects of urban management to learn from foreign ||| 虽然 我们 城市化 现在 每 年 以 一 个 百分点 的 速度 在 这个 ， 这个 城市化 的 规模 在 扩张 ，
Although the scale of our urbanization is currently expanding at a rate of 1 % per year , I think , with our economic development being relatively backward , we actually still have many aspects of urban management to learn from foreign ||| 但是 我 想 ， 我们 这个 ， 随 ， 随着 我们 这个 ， 由于 我们 经济 发展 的 相对 的 这个 滞后 ， 我们 城市 管理 上 实际上 很多 方面 都 还 需要 和 国外 来 学习 。
For instance , many of the pipes involved in this incident were basic infrastructure , public utilities industries .  ||| 比如说 我们 说 ， 这 次 事件 当中 涉及 到 大量 的 管线 就 属于 是 基础 设施 ， 公用 事业 行业 。
With a background of liberalization , marketization , and privatization , how can the government strengthen supervision of public utilities industries ? ||| 那么 在 公用 事业 行业 方面 怎么 来 进行 ， 啊 ， 在 开放化 ， 在 市场化 ， 在 民营化 的 背景 下 ， 怎么样 来 加强 政府 对 它 的 监管 ？
How can a safe , assured system be established ?  ||| 怎么样 来 确定 一 个 安全 的 保障 体制 ？
Well , we need to learn and manage this .  ||| 那么 这个 ， 我们 需要 我们 的 学习 和 管理 。
Uh-huh .  ||| 嗯 。
For instance , regarding information disclosure , well , our speed of information disclosure this time was very fast .  ||| 比如 在 信息 公开 上 ， 那么 我们 这 一 次 是 信息 公开 的 速度 非常 快 。
However , we still have a lot of work to do in making the information disclosure , er , system more standardized , that is , to really implement a system of levels of responsibility . ||| 但是 我们 怎么样 使 这个 信息 公开 的 这 种 呃 制度 更加 规范化 ， 而且 就是说 真正 使 分级 负责 的 这 种 体制 落到 实处 ， 我们 也 有 很多 工作 需要 做 。
Well , we also need to explore how cooperation mechanisms between departments execute cooperation under normal situations and , well , how departments should cooperate with one another under these kinds of public emergency circumstances . ||| 那么 ， 我们 的 部门 之间 的 协作 机制 ， 就 是 常态 下 怎么 来 协作 ， 那么 这 种 突发 公共 事件 的 情况 下 部门 之间 怎么 来 协作 ， 这 也 要 需要 来 探索 。
Well , for some of our emergency contingency plans , well , ah , how will these emergency contingency plans withstand these tests ? ||| 那么 我们 这 的 一些 应急 预案 当中 ， 那么 ， 啊 应急 预案 怎么样 来 经受 这些 考验 ？
We know that currently , many ministries and commissions , as well as people 's governments at the provincial level , along with those at municipal and district levels , have set up emergency contingency plans for public emergencies , but many of ||| 我们 知道 ， 现在 很多 部委 也好 ， 地方 ， 省 一 级 的 地方 政府 ， 包括 市 和 区 一 级 的 ， 好多 都 制定 了 那个 公共 的 那个 突发 事件 的 应急 预案 ， 但是 好多 没有 经受 过 考验 。
Well , how will they undergo testing ?  ||| 那么 怎么 来 经受 过 考验 ， 还 包括 我们 的 一些 指挥 决策 体制 上 。
These also include some of our command and policy-making systems .  ||| 那么 怎么 来 经受 过 考验 ， 还 包括 我们 的 一些 指挥 决策 体制 上 。
So , with the growth of urbanization and with more and more of such complicated issues , ah , I think there will be increasingly high requirements on the systems . ||| 所以 相应 的 这 种 ， 这个 这个 随着 我们 城市化 的 发展 ， 随着 这 种 复杂 问题 的 越来越 多 啊 ， 我 想 对 制度 的 要求 应该 说 是 越来越 高 了 。
That is , development of future systems is one of the top current priorities .  ||| 就 是 未来 呢 制度 建设 是 一 个 当务之急 ，
How can we institutionalize our response mechanisms and make them into a system so as to ensure the lifestyle of people who live in such a large-scale city ? ||| 怎么样 能够 使 我们 *T*-1 应对 的 这 种 机制 能够 成为 一 个 常态化 ， 成为 一 种 制度 来 确保 *T*-2 生活 在 这样 特大型 城市 人民 的 生活 的 这 种 安逸
The State Council has proposed a public emergency contingency plan , called One Plan , Three Systems .  ||| 国 ， 国务院 提出 一 个 那个 公共 那个 突发 事件 的 应急 预案 ， 叫 一 案 三 制 。
Uh-huh .  ||| 嗯 。
" One plan " refers to the contingency plan , and " three systems " refers to systems of organizations , mechanisms , and laws . ||| 一 个 叫 预案 ， 三 制 叫 体制 ， 机制 和 法制 。
So , I think we still have a lot of work to do in these three areas of organizations , mechanisms , and laws .  ||| 所以 我 想 ， 我们 在 体制 ， 机制 和 法制 这 三 个 方面 需要 做 的 工作 都 还 是 非常 多 的 。
Yes .  ||| 对 ， 那么 最后 我们 还是 来 关注 一下 北京 的 这 次 塌陷 事故 的 后期 的 处理 情况 啊 。
Well , finally , let 's turn our attention to handling of the situation , ah , during the latter stages of the cave-in accident in Beijing . ||| 对 ， 那么 最后 我们 还是 来 关注 一下 北京 的 这 次 塌陷 事故 的 后期 的 处理 情况 啊 。
Traffic , ah , can be said to have been directed , and is basically under control now .  ||| 现在 呢 ， 交通 啊 已经 可以 说 疏导 得 基本上 是 在 一 个 控制 之中 了 ， 那么 接下来 呢 是 要 对 这 段 这个 事故 的 这 段 路 呢 进行 修复 ， 包括 很多
Well , following this , repairs have to be made on this road section where the accident occurred , including for many pipes . ||| 现在 呢 ， 交通 啊 已经 可以 说 疏导 得 基本上 是 在 一 个 控制 之中 了 ， 那么 接下来 呢 是 要 对 这 段 这个 事故 的 这 段 路 呢 进行 修复 ， 包括 很多
Well , Yang Yang , based on your understanding , how long will it take ?  ||| 那 杨洋 ， 据 你 知道 需要 多 长 时间 ？
I think that the time really depends on how the overall repair goes .  ||| 这个 时间 我 想 真的 就 是 随着 咱们 这个 维修 整个 ， 因为 是 边 勘探 ， 然后 就是 评估 ， 然后 呢 边 去 维修 。
This is because exploration , assessment , and repair are carried out in succession .  ||| 这个 时间 我 想 真的 就 是 随着 咱们 这个 维修 整个 ， 因为 是 边 勘探 ， 然后 就是 评估 ， 然后 呢 边 去 维修 。
Therefore , regarding this work progress , to repair this road section in the shortest time , um , this will depend on the work progress . ||| 所以 这个 工程 进度 的话 呢 ， 要 在 最 短 的 时间 当中 呢 把 这 段 路 给 修好 ， 嗯 ， 这 要 随着 它 的 工程 进度 。
Uh-huh .  ||| 嗯 。
This is because repair is probably not a matter of repairing the road surface alone .  ||| 因为 要 修 的话 恐怕 也 不 光 是 把 路面 修好 的 问题 ， 下面 还 有 很多 管线 的 问题 。
There is also an issue with many of the pipes below .  ||| 因为 要 修 的话 恐怕 也 不 光 是 把 路面 修好 的 问题 ， 下面 还 有 很多 管线 的 问题 。
Yes , the pipes below .  ||| 对 ， 下面 管线 。
Right , as it is winter , we know that carrying out construction during winter , especially that which requires pouring concrete and then-- ||| 对 ， 因为 冬天 吧 ， 咱们 也 知道 ， 冬天 施工 特别是 这个 也 要 浇 这个 混凝土 ， 然后 呢 它 的 这个 ，
Moreover , it is especially difficult for concrete to set during winter .  ||| 而且 在 冬天 这个 混凝土 还 特别 不 容易 凝固 。
Yes , preparation mix for making it dry faster , has already been added .  ||| 对 ， 已经 加入 了 这个 ， 已经 加入 了 *T*-1 能够 使 它 比较 快 容易 干 的 这 种 制剂 。
But in the end , it requires time .  ||| 但是 呢 ， 毕竟 它 还 需要 一 个 时间 ， 所以 跟 这个 气温 呐 等等 关系 都 非常 的 大 。
Hence , it depends very much on factors like temperature .  ||| 但是 呢 ， 毕竟 它 还 需要 一 个 时间 ， 所以 跟 这个 气温 呐 等等 关系 都 非常 的 大 。
Just now , you mentioned that there are many pipes , ah , for instance , there is a key heating pipeline .  ||| 你 刚才 讲到 这个 管线 有 很多 ， 啊 ， 比如说 *T*-1 供暖 这 一 条 线路 是 非常 重要 的 ， 首先 应该 是 保证 及时 的 给 它 接上 。
The first thing is to ensure that it is connected in time .  ||| 你 刚才 讲到 这个 管线 有 很多 ， 啊 ， 比如说 *T*-1 供暖 这 一 条 线路 是 非常 重要 的 ， 首先 应该 是 保证 及时 的 给 它 接上 。
Yes .  ||| 对 。
In addition , waste discharge is also very important .  ||| 另外 ， 这个 排污 也 很 重要 。
Waste discharged has currently blocked this up .  ||| 排污 现在 已经 把 这 给 堵住 了 。
Um , and , for instance , optical fibers , ah .  ||| 嗯 ， 还 有 比如说 这个 光纤 啊 。
Er , right now , if the optical fibers break , people in many households will not be able to watch television .  ||| 呃 光纤 现在 是 ，
Er , right now , if the optical fibers break , people in many households will not be able to watch television .  ||| 如果 断 的话 很多 家 就 看 不 着 电视 了 ，
Yes .  ||| 对 ， 现在 是 咱们 看 电视 应该 还 没有 问题 ， 它 没 断掉 ， 只是 因为 要 修 其他 的 管线 嘛 ，
Yes .  ||| 然后 需要 把 它 再 给 处理 一下 ， 好象是 给 吊 起来 了 。
At present , we should not have a problem with watching television .  ||| 对 ， 现在 是 咱们 看 电视 应该 还 没有 问题 ， 它 没 断掉 ， 只是 因为 要 修 其他 的 管线 嘛 ，
At present , we should not have a problem with watching television .  ||| 然后 需要 把 它 再 给 处理 一下 ， 好象是 给 吊 起来 了 。
They are not broken .  ||| 对 ， 现在 是 咱们 看 电视 应该 还 没有 问题 ， 它 没 断掉 ， 只是 因为 要 修 其他 的 管线 嘛 ，
They are not broken .  ||| 然后 需要 把 它 再 给 处理 一下 ， 好象是 给 吊 起来 了 。
It is just that , as the other pipes have to be repaired , the optical fibers have to be rearranged , to be hung up it seems . ||| 对 ， 现在 是 咱们 看 电视 应该 还 没有 问题 ， 它 没 断掉 ， 只是 因为 要 修 其他 的 管线 嘛 ，
It is just that , as the other pipes have to be repaired , the optical fibers have to be rearranged , to be hung up it seems . ||| 然后 需要 把 它 再 给 处理 一下 ， 好象是 给 吊 起来 了 。
After that , or it seems that a few steel pipes have been added below to make it safer to walk across this section .  ||| 然后 呢 ， 或者是 在 下面 好象 加 了 几 条 钢管 ， 能够 让 它 比较 ， 比较 安全 走 过去 这 段 。
Furthermore , let 's take water pipes as an example .  ||| 另外 还 有 ， 比如说 这 *T*-1 供水 的 管线 。
Because they were exposed , The water pipes were not--  ||| 因为 暴露 出来
Because they were exposed , The water pipes were not--  ||| *T*-1 供水 管线 没有
after that , yes , these were not damaged .  ||| 的话 ， 以后 ，
after that , yes , these were not damaged .  ||| 对 ， 这个 没有 遭到 破坏 。
they were not damaged and this is quite normal .  ||| 没有 遭到 破坏 ， 还是 比较 正常 的 。
Um , there is no problem with water supply .  ||| 嗯 ， 供水 没 问题 。
Okay , well , today both of you have come to the studio and given us a lot of specific details concerning this road cave-in accident in Beijing Municipality . ||| 好 ， 那么 今天 呢 围绕 北京市 的 这个 路面 塌陷 事故 啊 ， 两 位 一起 到 演播室 来 给 我们 介绍 了 许多 具体 的 情况 。
At the same time , you have also analyzed , from a system perspective , how the government has reinforced emergency contingency plans to handle such public emergency cases . ||| 同时 呢 ， 也 从 制度 的 这个 角度 来 分析 了 政府 怎么样 来 加强 这 应急 预案 ， 来 ， 这个 应对 这 种 公共 突发 事件 的 问题 。
Okay , thank you very much , Professor Zhou and Yang Yang , for coming to the studio to participate in our program .  ||| 好 ， 非常 感谢 周 教授 和 杨洋 到 演播室 参与 我们 的 节目 ， 谢谢 你们 二 位 。
Thank you , both of you .  ||| 好 ， 非常 感谢 周 教授 和 杨洋 到 演播室 参与 我们 的 节目 ， 谢谢 你们 二 位 。
Okay , dear viewers , that is all for today 's edition of Focus Today .  ||| 好 ， 观众 朋友 今天 的 今日 关注 呢 先 到 这里 结束 ， 感谢 您 的 收看 。
Thank you for watching .  ||| 好 ， 观众 朋友 今天 的 今日 关注 呢 先 到 这里 结束 ， 感谢 您 的 收看 。
See you at the same time tomorrow .  ||| 明天 的 同 一 时间 ， 我们 再见 。
Hello .  ||| 您 好 ， 一起 来 关注 天气 。
Let 's turn our attention to the weather .  ||| 您 好 ， 一起 来 关注 天气 。
Today , we can use two words to summarize the weather in our country .  ||| 今天 我 国 天气 舞台 用 两 个 大 字 就 可以 概括 了 ，
First , there will be a temperature drop over a large area , and next , there will be rainfall and snowfall in an extensive area as well . ||| 首先 是 *pro* 降温 的 范围 大 ， 其次 呢 是 雨雪 范围 大 。
We see that except for some areas of South China , Southwest China , and Northeast China , many other places will be experiencing temperature drops . ||| 我们 看到 ， 除了 华南 ， 西南 和 东北 的 部分 地区 之外 ， 其他 很多 地方 都 在 *T*-1 降温 的 行列 当中 。
In addition , there will be snowfall in the area from Northwest China to the Huang-Huai area through southern North China . ||| 另外 从 西北 经过 华北 南部 到 黄淮 这 片 地方 都 是 雪花 纷飞 ，
The east of Southwest China , as well as the Jiang-Huai area and the area south of the Yangtze River , will experience continuous rainfall . ||| 而 在 西南 东部 以及 江淮 和 江南 则 是 雨水 不断 。
However , southern North China and the Huang-Huai area will bid farewell to the snow tonight , ah .  ||| 不过 今天 晚上 啊 ， 华北 南部 和 黄淮 将 会 和 雪 作 一 个 告别 ，
Tomorrow during the day , snowfall in the Jiang-Huai area will stop , and there will also be less snow in Northwest China .  ||| 到 了 明天 白天 江淮 的 雪 将 会 停 下来 ， 而且 西北 的 雪 也 将 会 有所 减弱 。
In addition , there will be rain throughout almost the whole of South China .  ||| 另外 ， 整个 华南 几乎 都 将 会 下起 雨 来 ，
It can be said that there will be less snow in the north and heavier rain in the south tomorrow .  ||| 可以 说 明天 北方 的 雪 将 会 减少 而 南方 的 雨 呢 却 会 多 起来 。
Furthermore , temperatures tomorrow in many places south of the Huai River will fall by between four and ten degrees .  ||| 另外 ， 明天 在 淮河 以南 的 很多 地方 气温 都 将 会 下降 四 到 十 度 。
Okay , let 's check out the city weather forecasts .  ||| 好 一起 来 关注 一下 城市 天气 预报 ，
Beijing , overcast changing to sunny , 9 degrees below zero to 2 degrees below zero .  ||| 北京 ， 阴 转 晴 ， 零下 九 到 零下 二 度 ，
Harbin , sunny , 26 degrees below zero to 16 degrees below zero .  ||| 哈尔滨 ， 晴 ， 零下 二十六 到 零下 十六 度 ，
Shijiazhuang , overcast changing to mostly cloudy , 9 degrees below zero to 1 degree below zero .  ||| 石家庄 ， 阴 转 多云 ， 零下 九 到 零下 一 度 ，
Jinan , overcast changing to mostly cloudy , 9 degrees below zero to 1 degree below zero .  ||| 济南 ， 阴 转 多云 ， 零下 九 到 零下 一 度 ，
Nanjing , sleet changing to overcast , 3 degrees below zero to 3 degrees .  ||| 南京 ， 雨 夹 雪 转 阴 ， 零下 三 度 到 三 度 ，
Hangzhou , sleet changing to overcast , to 4 degrees .  ||| 杭州 ， 雨 夹 雪 转 阴 ， 零 到 四 度 ／ ，
Fuzhou , light rain , 11 to 18 degrees .  ||| 福州 ， 小雨 ， 十一 到 十八 度 ，
Taipei , cloudy changing to showers , 13 to 19 degrees .  ||| 台北 ， 多云 转 阵雨 ， 十三 到 十九 度 ，
Dalian , sunny , 11 degrees below zero to 5 degrees below zero .  ||| 大连 ， 晴 ， 零下 十一 到 零下 五 度 ，
Wuxi , sleet changing to cloudy , 1 degree below zero to 3 degrees .  ||| 无锡 ， 雨 夹 雪 转 多云 ， 零下 一 度 到 三 度 ，
Changzhou , moderate snow to light snow , 3 degrees below zero to 3 degrees .  ||| 常州 ， 中雪 转 小雪 ， 零下 三 度 到 三 度 ，
Bangkok , cloudy , 26 to 35 degrees .  ||| 曼谷 ， 多云 ， 二十六 到 三十五 度 ，
New Dehli , sunny , 6 to 19 degrees .  ||| 新德里 ， 晴 ， 六 到 十九 度 ，
Seoul , overcast changing to mostly cloudy , 8 degrees below zero to 3 degrees below zero .  ||| 首尔 ， 阴 转 多云 ， 零下 八 到 零下 三 度 ，
Tokyo , overcast , 1 to 6 degrees .  ||| 东京 ， 阴 ， 一 到 六 度 ，
London , overcast changing to light rain , 2 to 6 degrees .  ||| 伦敦 ， 阴 ， 转 小雨 二 到 六 度 ，
Moscow , cloudy , 18 degrees below zero to 13 degrees below zero .  ||| 莫斯科 ， 多云 ， 零下 十八 到 零下 十三 度 ，
Paris , overcast , 1 to 4 degrees .  ||| 巴黎 ， 阴 ， 一 到 四 度 ，
Vienna , moderate snow , 1 degree below zero to 1 degree .  ||| 维也纳 ， 中雪 ， 零下 一 度 到 一 度 ，
New York , light rain , 1 to 3 degrees .  ||| 纽约 ， 小雨 ， 一 到 三 度 ，
Seattle , light rain , 4 to 7 degrees .  ||| 西雅图 ， 小雨 ， 四 到 七 度 ，
Washington , cloudy , 2 to 6 degrees .  ||| 华盛顿 ， 多云 ， 二 到 六 度 。
